name;href;comp_min;comp_max;comp_car;employer;address;site
Разработчик на Python;https://hh.ru/vacancy/36298286?query=Python;40000.0;;руб;ООО Телеком-Инжиниринг;Новосибирск;https://hh.ru
Аналитик Data Scientist;https://hh.ru/vacancy/36324804?query=Python;150000.0;;руб;ООО Стоматорг;Москва;https://hh.ru
Разработчик Python;https://hh.ru/vacancy/36338977?query=Python;;;;ООО Сбербанк-Сервис;Москва, Марьина Роща;https://hh.ru
Python-разработчик;https://hh.ru/vacancy/36445967?query=Python;100000.0;;руб; FunBox;Томск;https://hh.ru
Программист Python;https://hh.ru/vacancy/36263285?query=Python;100000.0;130000.0;руб;ООО Телепорт;Санкт-Петербург, Кировский завод;https://hh.ru
Специалист по обработке данных (Regexp/PHP/Python);https://hh.ru/vacancy/36447974?query=Python;;100000.0;руб;ООО АвтоЭксперт;Санкт-Петербург, Нарвская и еще 1 ;https://hh.ru
Senior Data Scientist;https://hh.ru/vacancy/36359628?query=Python;300000.0;;руб; Gradient;Москва, Калужская;https://hh.ru
Разработчик Python/Go;https://hh.ru/vacancy/35425505?query=Python;;;;ПАО МегаФон, IT;Екатеринбург;https://hh.ru
Программист Python;https://hh.ru/vacancy/36559760?query=Python;;;; Petrosoft Inc.;Санкт-Петербург;https://hh.ru
Data Engineer SQL / Python;https://hh.ru/vacancy/36293302?query=Python;80000.0;;руб;ООО DataProf;Воронеж;https://hh.ru
Python Developer/Team-lead;https://hh.ru/vacancy/36456453?query=Python;120000.0;200000.0;руб;ООО Когнитивные системы;Москва;https://hh.ru
Senior Python Developer;https://hh.ru/vacancy/36369041?query=Python;180000.0;;руб;ООО Цифровое проектирование;Санкт-Петербург;https://hh.ru
Python Developer;https://hh.ru/vacancy/34631264?query=Python;;;;ООО Ак Барс Цифровые Технологии;Казань, Козья слобода;https://hh.ru
Backend Developer (Python);https://hh.ru/vacancy/36556571?query=Python;;;; Wargaming, Saint Petersburg (Lesta Studio);Санкт-Петербург;https://hh.ru
Разработчик Python/Go;https://hh.ru/vacancy/36632049?query=Python;;;; Авито;Москва;https://hh.ru
Web-разработчик Full stack;https://hh.ru/vacancy/36631579?query=Python;150000.0;200000.0;руб;АО АСТ;Москва;https://hh.ru
Middle Python developer;https://hh.ru/vacancy/36280220?query=Python;;;; First_Line;Санкт-Петербург;https://hh.ru
Junior Quantitative Researcher;https://hh.ru/vacancy/31844648?query=Python;250000.0;250000.0;руб;ООО КВАНТПОРТРУС;Москва;https://hh.ru
Deep learning engineer (Санкт-Петербург);https://hh.ru/vacancy/36640775?query=Python;100000.0;160000.0;руб; IT_Selection;Москва;https://hh.ru
Разработчик Python;https://hh.ru/vacancy/35350974?query=Python;;;; ИнПлат;Москва, Менделеевская и еще 2 ;https://hh.ru
Senior Python Developer (to Riga);https://hh.ru/vacancy/36242559?query=Python;;;; Betby;Москва;https://hh.ru
Разработчик Python (middle / senior);https://hh.ru/vacancy/36360609?query=Python;60000.0;140000.0;руб;ООО Диджитал Пайн;Москва;https://hh.ru
Python/C Developer for embedded systems;https://hh.ru/vacancy/36358990?query=Python;125000.0;;руб; Marvell Rus;Нижний Новгород;https://hh.ru
Специалист / data scientist (big data, прогностическая аналитика, data mining);https://hh.ru/vacancy/35895583?query=Python;100000.0;;руб;ЗАО Прогностические решения;Москва, Кузнецкий мост;https://hh.ru
